Time_from_start, RA, dec, DM, SNR, DM_corr, SNR_corr, “ı1000_ , S_o, S_o50
41788.1, 21.45, -8.78, 3.91, 6.01, 3.914, 8.1, 41, 32.4, 16.2
38707.4, 8.24, -0.47, 10.29, 6.8, 10.29, 8.1, 27, 17.4, 8.7
17263.2, 2.41, 3.55, 11.25, 6.12, 11.25, 8.1, 38, 22.6, 11.3
8603.46, 10.08, 4.67, 11.36, 6.54, 11.362, 8.1, 23, 13.4, 6.7
5351.04, 23.24, 7.22, 1.81, 6.38, 1.808, 8.1, 37, 20.7, 10.3
31343, 6.46, 7.74, 4.6, 6.14, 4.6, 8.1, 50, 27.7, 13.9
22075.2, 3.95, 9.23, 22.23, 6.57, 22.23, 8.1, 33, 17.9, 8.9
19588.5, 16.35, 17.03, 27.14, 6.18, 27.138, 8.1, 67, 32.8, 16.4
40578.3, 22.18, 17.5, 4.95, 6.24, 4.954, 8.1, 43, 20.9, 10.5
4277.78, 12.1, 18.42, 2.42, 6.15, 2.422, 8.1, 30, 14.4, 7.2
12601.3, 10.19, 18.75, 26.21, 6.33, 26.208, 8.1, 27, 13, 6.5
33544.6, 21.02, 58.19, 5.31, 6.2, 5.312, 8.1, 76, 31.5, 15.7
1056.39, 7.71, 67.12, 25.94, 6.14, 25.94, 8.1, 39, 16.7, 8.4
3095.01, 8.28, 67.12, 27.29, 6.03, 27.284, 8.1, 33, 14.2, 7.1
39803.5, 18.48, 67.94, 3.93, 6.14, 3.928, 8.1, 43, 18.5, 9.3
12979.5, 12.7, 70.34, 9.83, 6.02, 9.838, 8.1, 31, 13.6, 6.8
24266.6, 15.84, 70.76, 13.07, 6.02, 13.07, 8.1, 39, 17.1, 8.6
14202.9, 1.17, -9.66, 14.98, 6.03, 14.978, 8.2, 30, 24.7, 12.3
36912.1, 7.74, -1.7, 7.96, 6.68, 7.952, 8.2, 35, 23.5, 11.7
35314.9, 7.43, 2.98, 7.99, 6.24, 7.986, 8.2, 36, 21.9, 11
29863.3, 6.11, 9.23, 17.16, 6.4, 17.16, 8.2, 52, 28.5, 14.3
16193.2, 2.31, 10.25, 8.72, 6.25, 8.714, 8.2, 39, 21.1, 10.5
28270.3, 15.88, 24.85, 10.48, 6.04, 10.482, 8.2, 57, 26.2, 13.1
36931, 4.95, 28.92, 11.15, 6.08, 11.148, 8.2, 55, 24.5, 12.2
29269.7, 2.96, 32.99, 5.87, 6.23, 5.874, 8.2, 45, 19.5, 9.8
12447, 0.68, -9.66, 20.84, 6.04, 20.836, 8.3, 29, 24.1, 12.1
7141.25, 23.27, -8.27, 16.98, 6.22, 16.982, 8.3, 31, 24.8, 12.4
1958.8, 22.16, 1.24, 12.59, 6.13, 12.59, 8.3, 35, 22.3, 11.2
1458.2, 22.35, 15.55, 14.36, 6.38, 14.358, 8.3, 44, 22.4, 11.2
18861.9, 23.67, 22.24, 21.64, 6.28, 21.64, 8.3, 42, 20, 10
31975.4, 3.84, 35.31, 20.2, 6.14, 20.202, 8.3, 52, 22.6, 11.3
2077.48, 11.14, 52.73, 15.77, 6.07, 15.762, 8.3, 27, 11.4, 5.7
13486.5, 0.97, -12.04, 22.38, 6.15, 22.386, 8.4, 21, 19.1, 9.5
2613, 22.02, -6.12, 12.68, 6.23, 12.678, 8.4, 37, 28.2, 14.1
38513.7, 20.54, 10.31, 15.98, 6.45, 15.98, 8.4, 63, 34.8, 17.4
14619.6, 11.48, 66.71, 26.86, 6, 26.858, 8.4, 32, 14.2, 7.1
36881, 17.67, 66.71, 12.4, 6.13, 12.414, 8.4, 42, 18.7, 9.3
40955, 18.67, -10.47, 5.19, 6.07, 5.19, 8.5, 105, 91.7, 45.9
9095.03, 23.75, -10.44, 17.07, 6.29, 17.07, 8.5, 33, 28.8, 14.4
43036.4, 9.18, -8.9, 15.72, 6.09, 15.71, 8.5, 23, 19.2, 9.6
42443.3, 9.28, 0.74, 15.09, 6.04, 15.084, 8.5, 21, 13.9, 6.9
17561.2, 12.5, 3.63, 13.37, 5.71, 13.37, 8.5, 36, 22.5, 11.2
383.286, 21.79, 4.03, 4.68, 6.01, 4.682, 8.5, 44, 27.3, 13.6
31352, 6.46, 6.68, 21.62, 6.28, 21.62, 8.5, 45, 26.6, 13.3
13838.6, 1.59, 8.79, 4.36, 6.42, 4.36, 8.5, 36, 20.6, 10.3
11282.9, 0.95, 9.74, 14.65, 6.38, 14.654, 8.5, 37, 20.9, 10.4
21702.1, 3.84, 9.74, 22.28, 6.14, 22.278, 8.5, 33, 18.6, 9.3
13528.2, 1.71, 15.08, 13.15, 6.03, 13.15, 8.5, 39, 20.5, 10.2
7127.07, 23.93, 16.02, 14.87, 6.07, 14.87, 8.5, 36, 18.7, 9.3
7101.88, 12.89, 16.57, 14.66, 6.03, 14.66, 8.5, 50, 25.8, 12.9
2964.62, 11.74, 17.03, 17.55, 6.18, 17.546, 8.5, 31, 15.9, 8
21053.1, 12.54, 18.75, 6.42, 6.08, 6.424, 8.5, 31, 15.6, 7.8
27329.3, 14.28, 18.75, 14.34, 6.03, 14.34, 8.5, 55, 27.7, 13.8
6059.74, 20.12, 22.68, 5.25, 6.22, 5.256, 8.5, 87, 42.2, 21.1
32910.9, 15.48, 26.04, 12.04, 6.09, 12.04, 8.5, 49, 23.1, 11.5
28436.9, 2.6, 29.34, 5, 6.15, 4.998, 8.5, 46, 21.2, 10.6
23552.5, 13.01, 31.02, 10.9, 6.26, 10.902, 8.5, 30, 13.7, 6.8
11930, 22.27, 35.31, 3.53, 6.18, 3.528, 8.5, 50, 22.3, 11.1
16888.1, 23.72, 37.72, 21.44, 6.31, 21.44, 8.5, 43, 18.9, 9.5
5912.29, 8.14, 42.35, 7.53, 5.89, 7.528, 8.5, 32, 13.9, 6.9
4862.94, 11.78, 48.92, 10.12, 6.84, 10.128, 8.5, 29, 12.5, 6.2
29234.4, 18.55, 49.71, 5.33, 6.61, 5.332, 8.5, 50, 21.5, 10.8
5761.27, 12.23, 55.42, 6.27, 6.77, 6.278, 8.5, 30, 13, 6.5
19641.1, 17.15, 57.8, 11.56, 6.44, 11.56, 8.5, 37, 16.1, 8
11658.6, 10.66, 67.12, 3.86, 6.19, 3.858, 8.5, 31, 14, 7
14005.1, 11.31, 67.94, 7.69, 6.09, 7.68, 8.5, 31, 14, 7
7498.11, 21.34, 68.23, 12.72, 6.12, 12.724, 8.5, 61, 27.6, 13.8
15209.2, 23.48, 69.06, 25.4, 6.11, 25.4, 8.5, 77, 35.1, 17.5
11955.2, 12.42, 70.34, 10.99, 6.3, 11.004, 8.5, 34, 15.6, 7.8
19317.5, 14.46, 70.34, 13.31, 6.01, 13.304, 8.5, 34, 15.6, 7.8
4891.32, 9.52, 72.43, 15.76, 6.08, 15.76, 8.5, 33, 15.4, 7.7
481.845, 7.49, -6.85, 13.28, 6.13, 13.28, 8.6, 35, 27.9, 13.9
40887.4, 8.71, -3.53, 22.22, 6.19, 22.218, 8.6, 24, 17.6, 8.8
23410.9, 3.86, -2.24, 23.85, 6.06, 23.85, 8.6, 30, 21.3, 10.7
44778.1, 10.06, 2.41, 17.65, 6.02, 17.644, 8.6, 24, 15.5, 7.7
25366.1, 4.99, 14.6, 8.1, 6.25, 8.1, 8.6, 52, 27.8, 13.9
14233.8, 14.87, 17.03, 19.92, 6.39, 19.926, 8.6, 59, 30.6, 15.3
14735.5, 15.01, 17.5, 13.41, 6.12, 13.404, 8.6, 59, 30.5, 15.2
34700, 3.94, 19.63, 15.07, 6.04, 15.07, 8.6, 39, 19.7, 9.8
7050.09, 20.65, 29.34, 17.88, 6.98, 17.87, 8.6, 82, 38.2, 19.1
35172.2, 4.47, 29.75, 7.39, 6.21, 7.384, 8.6, 55, 25.5, 12.8
38798.2, 17.41, 46.23, 16.73, 6.14, 16.742, 8.6, 41, 17.9, 8.9
3401.58, 22.17, -11.23, 6.71, 6.02, 6.704, 8.7, 33, 30.2, 15.1
9953.08, 23.99, -10.44, 24.26, 6.06, 24 .26, 8.7, 30, 26.8, 13.4
3790.48, 22.34, -5.43, 19.23, 6.09, 19.234, 8.7, 29, 22.5, 11.3
22836.1, 3.63, -5.43, 9.97, 6.5, 9.968, 8.7, 29, 22.5, 11.3
31276.1, 6.18, 0.74, 27.01, 6.02, 27.008, 8.7, 39, 26.3, 13.2
7683.57, 0.15, 16.42, 12.16, 6.11, 12.162, 8.7, 37, 19.6, 9.8
14761.6, 15.01, 16.57, 11.26, 6.38, 11.258, 8.7, 74, 39.1, 19.5
3484.62, 11.88, 18.42, 14.87, 6.24, 14.87, 8.7, 29, 15, 7.5
25579.5, 13.79, 20.55, 17.57, 6.17, 17.568, 8.7, 45, 22.8, 11.4
